,album titles,artists,review titles,reviews
0,A Deeper Understanding,The War On Drugs,워 온 드럭스(The War On Drugs)가 제시하는 아메리칸 록의 또 다른 미래!,"워 온 드럭스(The War On Drugs)는 시대를 역행한다. 밥 딜런(Bob Dylan)과 닐 영(Neil Young), 브루스 스프링스틴(Bruce Springsteen)을 좇아 다니며 옛 된 아메리카나 음악의 새로운 장을 만들어가고 아날로그 사운드로 빚어낸 빈티지한 컬러를 노래에 넉넉히 덧씌운다. 또한 음악 소비의 순환이 빠르게 돌아가는 스트리밍의 시대에 아랑곳 않고 6분, 7분 동안 노래하길 즐기는 데다, 음반 발매 전 리드 싱글로 11분짜리 대곡을 내놓는 모험 또한 꺼리지 않는다.

신보 [A Deeper Understanding]은 바로 그렇게 탄생한 음반이다. 평균 6분을 훌쩍 넘기는 열 개의 곡들이 만나 66분에 달하는 러닝 타임을 구성하는 새 앨범에는 1970년대 말과 1980년대의 미국 하트랜드 록을 떠올리게 하는 사운드가 잔뜩 들어있다. 포크 록과 컨트리 록을 기반으로 탄생한 푸근한 멜로디와 쟁글거리는 기타, 그 위를 아득하게 훑고 지나가는 키보드 사운드, 브루스 스프링스틴의 1980년대 음악들과 닮은 큼지막한 사운드 편곡이 워 온 드럭스의 음악과 작품의 중심에 있다.

워 온 드럭스와 밴드의 리더 아담 그랜두시엘(Adam Granduciel)은 그러나 과거의 음악을 재현하는 정도에만 창작 활동을 가두는 이들이 아니다. 이들의 음악에서 놓치지 않아야 할 또 다른 요소는 현대적인 드림 팝 사운드에 있다. 사운드 공간을 넓게 확장한 뒤, 전통적인 록 스타일로는 채 채우지 못 하는 빈 공간을 기타와 신시사이저가 교차해가며 구축하는 사이키델릭 사운드, 음향 마감이 깔끔하게 처리된 퍼즈 톤 기타, 리버브 톤이 남긴 몽환감 큰 잔향으로 메운다.

1980년대 미국 록과 2010년대의 사이키델리아 사이에서 이루어지는 워 온 드럭스의 실험은 3년전의 명작 [Lost In The Dream]에 이어 이번 작품에서도 멋진 음악을 탄생시킨다. 밴드는 [A Deeper Understanding]을 통해 아메리카나의 속성을 견고하게 유지함과 동시에 사운드 스케이프의 경계를 전작 더욱 널찍하게 늘려 드림 팝의 요소들을 더욱 짙게 해 지난 앨범과는 다른 지점을 만들어냈다는 성과를 이룬다. 하트랜드 록과 드림 팝은 물론 앰비언트 성향까지 돋보이는 풍성한 편곡의 ‘Up All Night’과 중후반부의 기타 솔로가 인상적인 ‘Pain’, 대담하게 치고 나오는 록 트랙 ‘Holding On’ 서정적인 멜로디와 세심한 장치들이 돋보이는 11분의 대곡 ‘Thinkin Of A Place’등의 앨범의 하이라이트.

매력적인 음악들을 재차 만들어냈다는 음악적 성취 외에도 워 온 드럭스가 획득한 의미 있는 성과가 또 존재한다. [A Deeper Understanding]으로 메이저 레이블 계약 후의 첫 결과물을 또 다른 명작으로 장식하는 데 성공했을 뿐 아니라, 창작의 체계를 리더 아담 그랜두시엘의 독자 활동에서 벗어나 밴드 차원으로 넓히며 지난 작품들보다 스펙트럼을 더욱 다양하게 만들었다.

밥 딜런과 닐 영, 브루스 스프링스틴, 탐 페티로 이어지는 아메리카나 계보의 오늘날에는 워 온 드럭스가 있다. 미국 록의 또 다른 미래에 동참하고 싶은 이들에게 이들의 사운드는 재미있고 흥미로운 음악으로 다가갈 테다. 놓치지 않고 챙겨야 할 워 온 드럭스의 또 하나의 명작! [A Deeper Understanding]!"
1,The Beautiful Day,Kurt Elling(커트 엘링),커트 엘링표 올해의 캐롤 [The Beautiful Day],"벅스가 선정한 2016년 11월 이달의 앨범 선정 작품. 어떤 한 시즌에만 듣는 음악을 시즌송이라고 한다. 서핑뮤직과 보사노바가 여름용 음악이라면 겨울은 즐거운 크리스마스 캐롤이다. 11월 말부터 시작해 연말까지 약 한 달 동안 집중해서 듣게 되는 곡으로 홀리데이스 송이라고도 한다. 유명 음악인은 캐롤 앨범을 1~2장씩 발표하기 마련인데 냇 킹 콜 같이 매년 사랑 받는 노래부터 현재 재즈 연주자의 새로운 음악까지 다양한 캐롤을 만날 수 있다.

올해는 독보적인 남성 재즈 보컬리스트 커트 엘링이 자신의 개성을 살린 캐롤 앨범을 발표하고 있다. 1995년 발표한 데뷔작 [Close Your Eyes] 이후 20년 만에 처음 발표하는 크리스마스 앨범으로 그 동안 들어 보지 못한 새로운 곡으로 채우고 있다. 캐롤의 고전들을 짧게 메들리로 부르고 그 위에 선율을 쌓아가는 ‘Sing A Christmas Carol’로 시작된다. 브랜포드 마살리스(Branford Marsalis)의 소프라노 색소폰 역시 멋지다.

체코를 중심으로 동유럽에서 널리 불리는 ‘Good King Wenceslaus(좋은 임금님 웬체스라우스)’라는 크리스마스 캐롤이 있다. 추운 겨울날, 웬체스라우스 왕이 손수 장작더미를 짊어지고 가난하여 나무를 살 수 없는 사람들에게 나누어 주었다는 얘기를 시로 쓴 곡이다. 19세기에 J. M. 닐(Neale)이 쓴 노래로 이 곡을 베이스로 3가지 버전을 만들고 있다. 귀에 익은 곡은 ‘Little Drummer Boy’로 켄트릭 스콧(Kendrick Scott)의 뉴올리언스 풍의 스네어 드럼 연주가 흥겹게 연주된다.

일반적인 재즈 캐롤 앨범과는 달리 선곡과 연주에서 그만의 시성, 감성을 불어넣고 있다."
2,Jazz Love,Laura Fygi(로라 피지),재즈 초심자를 위한 로라 피지의 선물,"벅스가 선정한 2016년 11월 이달의 앨범 선정 작품. 로라 피지는 한국인이 좋아하는 재즈 보컬리스트로 분위기 있는 목소리와 대중적인 선곡으로 발표하는 앨범마다 박수를 받아왔다. 재즈 스탠더드, 크리스마스 캐롤, 보사노바, 라틴재즈 등 앨범마다 컨셉을 달리하며 제자리에 머물지 않고 꾸준히 노력하는 재즈 보컬리스트이기도 하다.

이번 앨범은 그 동안 그녀가 자신의 스타일로 부른 커버 곡을 집대성한 앨범으로 60년대부터 최근 노래까지 재즈를 처음 듣는 분들에게 딱 맞는 선곡으로 이뤄져 있다. 국내에서 인기 많은 코린 베일리 래(Corrine Bailey Rae)의 ‘Like A Star’와 앨리샤 키스(Alicia Keys)의 ‘If I Ain’t Got You’는 색다른 느낌으로 신세대에게 다가갈 듯하다. 그 외에 비틀스(The Beatles), 빈센트(Vincent), 리처드 막스(Richard Marx), 더스티 스프링필드(Dusty Springfield) 등 감성 짙은 팝 넘버들을 로라 피지 목소리로 만날 수 있다.

그 동안 대규모 빅밴드 편성을 백업으로 노래했다면 이번에는 피아노 트리오에 색소폰과 기타 정도만을 더한 밴드에 맞춰 담백하게 노래하고 있다. 원곡이 가진 선율과 로라 피지 노래만으로 모든 것이 채워지기 때문에 악기도 최소화한 듯하다. 모든 수록 곡이 좋지만 로라 피지와 묘한 동질감이 전달되는 샤데이(Sade)의 ‘Your Love Is King/ Smooth Operator’를 추천한다. 샤데이의 1984년 데뷔작 [Diamond Life] A면 1, 2번곡으로 실린 곡으로 저음이 매력적인 두 보컬리스트의 노래를 비교 감상하는 것은 어떨까. 이 곡을 듣고 나니 샤데이가 부르는 재즈가 듣고 싶어진다."
3,Happiness Is Not A Place,The Wind And The Wave(더 윈드 앤 더 웨이브),"미국 혼성 팝 듀오, 더 윈드 앤 더 웨이브의 두 번째 수작! [Happiness Is Not A Place]","벅스가 선정한 2016년 11월 이달의 앨범 선정 작품. 작곡가이자 프로듀서 드와이트 베이커(Dwight Baker)와 싱어송라이터 패트리샤 린(Patricia Lynn)의 혼성 팝 듀오 더 윈드 앤 더 웨이브의 소포모어 앨범이다. 장르적으로 큰 변화는 없지만 균등하고 준수한 음악성을 유지한다. 포크/컨트리와 루츠 락에 기반한 복고적인 감성, 기존 장르에 큰 흥미를 느끼지 못했던 청자들을 매혹시킬만한 캐치한 팝 멜로디의 조화는 여전히 발군의 창작력과 신선한 매력으로 충만하다.

어깨를 들썩이게 하는 흥겨운 컨트리 트랙 ‘Happiness Is Not A Place’와 ‘Before The World Explodes’. 멜랑콜리하면서도 유쾌한 모던 포크 송 ‘Let's Forget That I Was Ever Even Here’와 ‘Anything For You’ 등 앨범은 행복과 사랑, 희망의 에너지로 기분 좋은 미소를 짓게 한다.

전반적으로는 얼터너티브 록적인 색채가 강해졌다. 이는 프로듀서 부치 워커(Butch Walker)의 영향력이 느껴지는 대목이다. 예컨대 ‘Grand Canyon’과 ‘Take Me Back’, ‘Skin And Bones’는 록 팬들에게도 어필할만한 강렬한 사운드로 또 다른 묘미를 선사하는 곡들이다.

복고적인 방법론을 견지하면서도 대중적인 훅을 놓치지 않는 세련된 편곡, 포크 팝에서 록 발라드까지 무리없이 소화해내는 패트리샤 린의 보컬은 한층 선명한 매력으로 뚜렷한 인상을 남긴다. 신구세대의 취향을 아우르는 이상적인 컨트리 팝 앨범, 대중과 평단의 찬사를 받은 데뷔 앨범 [From The Wreckage]의 명성을 이어가는 수작이다."
4,Everything Feels Better Now,From Indian Lakes,"인디 록의 주목해야 할, 프롬 인디안 레이크스!","벅스가 선정한 2016년 11월 이달의 앨범 선정 작품. 프롬 인디안 레이크스(From Indian Lakes)는 미국 캘리포니아 출신의 5인조 인디 락 밴드로 지난 2009년에 결성되었다. 데뷔 초기 강렬한 이모(Emo) 펑크 장르를 지향했던 밴드는 점차 서정적인 브릿 팝 스타일을 수용하면서 변화를 꾀했는데, 이번 4집 [Everything Feels Better Now]에서는 드림 팝과 슈게이징, 포스트 록까지 아우르는 한층 다변화된 음악적 정체성으로 밴드의 세계관을 확장하고 있다.

기존 이모 사운드와 브릿 팝의 감성이 절묘한 조화를 이루는 ‘The Monster’와 ‘Blank Tapes’, 특히 아름답고 웅장한 슈게이징 발라드 ‘American Dreams’는 단연 앨범의 베스트 트랙으로 꼽을 수 있다. 무엇보다도 그 동안 누구누구의 아류라는 평가를 받아왔던 밴드가 고유한 네임 밸류를 획득해가는 과정을 보여주고 있다는 점에서 고무적이다. 까다롭기로 유명한 피치포크 매거진에서 7.0점이라는 높은 평점을 내린 것 또한 그러한 성과를 뒷받침한다. 대중성과 실험성이 조화를 이룬 수작으로 평가하기에 손색이 없는 올해 하반기 인디 록의 주목해야 할 결과물이다."
5,Secrets Beyond The Room,시크릿 아시안 맨(Secret Asian Men),"기분 좋은 음악 그리고 기분 좋은 밴드, 시크릿 아시안 맨!","벅스가 선정한 2016년 11월 이달의 앨범 선정 작품. 끝까지 들으니 알겠다. 이 이야기가 1990년대 성장기를 겪은 청년들의 고백이라는 것을. 시크릿 아시안 맨은 MTV와 인디 음악이라는 자장 안에서 자양분을 얻은 세 청년이 결성한 밴드다. 허세정(기타와 보컬)과 이상우(드럼과 신스)가 일본 유학 시절 팀을 꾸렸고, 후에 김연종(베이스)이 가세했다.

[Secrets Beyond The Room]은 드물게 움직이던 밴드가 본격적으로 활동하겠다는 것을 알리는 신호탄 같은 음반이다. 뚜껑을 열어보니 내용물이 제법 알차다. 그 옛날 인디 보석들의 낭만과 서정이 고루 들어갔다. 이 말은 추억팔이를 한다는 게 아니다. 밴드는 두 발을 엄연히 ‘지금, 여기’에 박아두고 서 있기 때문이다. 과거와 현재가 적절히 담겼다.

‘Wake Up’, ‘Lighthouse’, ‘Further Of US’ 등 수록 곡들은 어떤 아련함을 준다. 특정한 장르, 특정한 흐름으로 묶어두기는 어렵지만, 확실히 드러내고 싶은 ‘정서’나 ‘무드’는 있는 것 같다. 상당수의 많은 ‘좋은 음악’이 그런 지향점을 가지고 만들어진다. 들어보니, 이 분들 확실히 고집이 세다. 허나 시크릿 아시안 맨은 그 고집을 강점으로 승화시킨 밴드다.

‘I Want You Back’은 음반 내에서 제 1순위로 귀를 사로잡을 만한 트랙이자, 시크릿 아시안 맨의 특색이 잘 드러나는 곡이다. 감각적인 기타 리프, 꽉 찬 전개, 넘실거리는 팝의 감수성. 기분 좋게 매혹한다. 기분 좋게 늘어진다. 기분 좋게 부유한다. 이 곡이 괜찮았다면 결코 중간에 음반을 멈출 수는 없을 것이다. 결국 목적지를 따라 마지막까지 따라가게 된다."
6,A State Of Trance 2017,Armin Van Buuren(아민 반 뷰렌),"트랜스 음악의 거장, 아민 반 뷰렌(Armin Van Buuren)의 위클리 라디오 쇼 'ASOT'","2000년대 초반 미국 뮤직 페스티벌 씬(Scene)의 주를 이루는 장르 중 하나는 단연 트랜스(Trance)를 빼놓고 이야기 할 수 없었다. 트랜스(Trance: 무아지경, 황홀의 의미) 음악이 주는 감흥은 여타 장르가 주는 감흥과는 다르다. 사람의 감정을 들었다 놓았다 하는 이 장르는 ‘무아지경, 황홀’이라는 뜻을 가지는 것이 그런 무드를 느낄 수 있게 하기에 어떻게 보면 당연하다. 1980-90년대의 초반 퓨어 트랜스와 다르게 모던 트랜스는 그 장르를 알아볼 수 없을 정도로 진화 했다. 모든 음악은 진화를 거듭하고 시대에 따라 변화 하듯, 퓨어 트랜스 요소가 대중을 사로 잡기에는 어려움이 많기에 트랜스 음악 또한 진화를 해야만 했다. 그 중에서 많은 트랜스 디제이들이 트랜스를 포기하고 다른 장르로 전환을 했다.

아민은 몇 남지 않은 트랜스 디제이 중에서도 자신의 위클리 쇼 <ASOT>를 진행하며 새로 나온 트랜스 곡들을 소개하며 트랜스 장르를 고수 해온 아티스트다. 그의 쇼 <ASOT>에서는 새로 나온 트랜스 음악을 경험 할 수 있다. 무명/신입 트랜스 디제이부터 누구나 이름만 들어도 알법한 가레스 에머리(Gareth Emery), 마를로(Marlo), 앤드류 라엘(Andrew Rayel)과 같은 트랜스 디제이들의 음악은 아민(Armin) 쇼의 단골 곡들이다. 모던 트랜스는 더욱 강한 에너지를 느낄 수 있다는 것이 뚜렷한 특징이고 복잡함(Complexity)이 더해졌다.

보컬 트랜스, 프로그레시브 트랜스, 테크 트랜스 등 다양한 장르의 트랜스를 한 곳에서 만나볼 수 있는 아민의 위클리쇼 앨범 [A State Of Trance 2017]는 트랜스를 입문 하는 청취자들에게 가장 추천해주고 싶은 앨범 중 하나다. 시드니에서 1위를 기록하고 있는 마를로와 트랜스 음악이라고 하면 항상 떠오르는 가레스 에머리의 곡을 각각 한 곡씩 추천한다."
7,Adventure,Jaedal (재달),"이보다 솔직할 수 없는 재달, 그의 이야기","그 어느 때보다 힙합이라는 장르가 인기를 끌고 있는 요즘이지만, 많은 사람이 한 가지 아쉬운 점으로 꼽는 것이 있다. 수많은 힙합 곡들이 비슷한 이야기를 하고 있다는 것이다. 새로운 느낌의 비트는 많아졌지만, 그것들이 비슷한 내용이라는 건, 다양한 음악을 듣고 싶은 입장에선 조금 아쉬울 수밖에 없다. 그런 사람들에게 추천해주고 싶은 음악이 바로 쟈코비플래닛의 멤버 재달(Jaedal)의 [Adventure]다. 그가 만들어낸 8곡은 사회비판 같은 심오한 이야기를 하지는 않는다. 하지만 다른 아티스트들의 노래에선 찾기 힘든 재달, 그만의 솔직한 이야기를 풀어낸다. 앞에서 말한 아쉬움을 갖고 있던 사람이라면, 이 앨범이 더욱 신선하고 반갑게 느껴질 것이다.

8개의 트랙 모두를 추천하고 싶지만, 그 중 2곡을 고르자면 ‘눈꺼풀’과 ‘Old Time Galaxy’를 고르고 싶다. 기타선율과, 전화하는 내용의 skit으로 시작하는 ‘눈꺼풀’은, 이 시대를 살아가는 많은 젊은 사람들이 한 번쯤 해봤을 고민을, 재달의 방식으로 풀어낸다. ""나를 탓하지 못하도록, 눈꺼풀 속으로 난 숨어""라는 부분에서 공감하지 않는 사람은 많지 않을 것이다. ‘Old Time Galaxy’는 생각만으로 먹먹해지는 헤어진 사람을 그리워하는 이야기다. 자칫 진부해질 수 있는 내용이지만, 우주를 형상화한 듯한 비트와 함께 툭툭 뱉는 듯한 재달의 랩 덕분에 전혀 진부하게 다가오지 않는다. 오히려 이렇게 표현할 수도 있구나 하는 새로움까지 느껴지기도 한다. 2개의 트랙 외에도 타이틀인 ‘Dear Mama’와 ‘농담’ 또한 들어보길 추천한다.

8곡을 처음부터 쭉 듣다 보면 이만큼 듣기 편하고, 기분 좋아지는 앨범이 있을까 싶은 생각이 든다. 아마 그건 노래들이 간직하고 있는 솔직함 덕분일 것이다. 아직 이 앨범이 나온 지 2달밖에 지나지 않았지만, 한 명의 팬으로서 하루라도 빨리 다음 앨범이 나왔으면 하는 바람이다."
8,Cigarettes After Sex,Cigarettes After Sex(시가렛 애프터 섹스),"심해로부터의 묵직한 울림, 사랑을 노래하다","아직 한국에서 많이 알려진 편은 아닌 터라 소개를 우선하자면, 시가렛 애프터 섹스(Cigarettes After Sex)는 프론트맨 그렉 곤잘레스(Greg Gonzalez)를 주축으로 구성된 미국의 드림 팝 밴드이다. 그 동안 한국의 음원 사이트에서는 그들의 노래를 들을 수 없었기에 외국 사이트를 통해 직접 구매해야 했던 역사(!)가 있어 많은 팬들의 아쉬움을 사기도 했다. 그런 의미에서 이번 정규 앨범은 한국의 팬들에게는 굉장히 반가울 테다. 필자가 이 밴드를 처음 알게 된 것은 2015년경의 싱글 ‘Affection’을 접하고부터였다. 중성적인 목소리와, 나른하고 몽롱한 오후 어딘가 쯤에 머무른 사운드를 구현하고 있어 굉장히 큰 울림으로 다가왔고, 좋은 밴드를 발견한 기쁨이 굉장히 컸다.

본격적으로 앨범을 살펴보면, 10개의 트랙이 앨범 전반을 감돌며 특유의 분위기를 자아내고 있다. 보통 아티스트의 신보가 나오면 한 번을 쭉 들어 본 다음 괜찮은 노래 몇 곡을 선별해 다운받곤 하는데, [Cigarettes After Sex]는 도저히 그럴 엄두가 나지 않았다. 전 곡이 마치 하나의 거대한 서사처럼 큰 줄기를 이루며 흐르고 있기 때문일까. 노래와 가사는 사랑하는 사람을 향해 있는 것 같지만, 일반적으로 자주 듣는 사랑 노래들과는 다른 감성이다. 그래서 더욱 매력적으로 다가오는 앨범이다.

첫 트랙 'K'는 작년 겨울을 즈음하여 선공개로 이미 첫 선을 보인 바 있는 곡이다. 곡의 전반에서 시가렛 애프터 섹스 특유의 분위기를 느낄 수 있는데, 필자는 토종 한국인임에도 불구하고 분명 감미로운 가사를 읊고 있을 것이라 짐작이 갈 만큼 애틋함이 감돈다. 몽환적인 도입부가 인상적인 두 번째 트랙 'Each Time You Fall In Love'는 후반부 인스트루멘탈이 특히 좋으며, 'Sunsetz' 또한 목소리와 어우러져 처음과 끝을 관통하는 몽롱한 기타 사운드가 좋다. 'Apocalypse'는 개인적으로 앨범에서 완성도가 굉장히 좋은 편에 속한다고 꼽는 곡인데, 후렴에서 반복되는 가사가 참 예쁘다. 'Flash'는 다른 수록 곡들보다도 특히 진하고 우울한 감성이 잘 드러나 있다.

'Sweet'은 달달한 후렴구의 멜로디가 참 좋고. 'Opera House'는 이전의 곡들과는 살짝 다른 도입에 전개에 대한 긴장을 조금 갖추게 된다. 'Truly'는 첫 트랙인 'K'와 엇비슷하다는 느낌을 받았는데, 두 곡을 같이 들어도 괜찮았다. 'John Wayne'은 듣고 있자면 심해 어딘가를 유영하는 느낌이다. 그러면서도 끝없이 나른하다. 연인에게서 이런 노래를 들으면 어떤 기분일까, 하는 아득한 상상을 허락케 한다. 마지막 트랙 'Young & Dumb'도 전반적인 앨범의 분위기에 충실하면서 농후한 보컬로 마무리를 지어 준다. 시가렛 애프터 섹스가 가지고 있는 특색을 정말 잘 녹여 담았다는 느낌을 주는, 꼭 추천하고 싶은 앨범이다."
9,어제의 소설,곽푸른하늘,"나는 네가 쉬지 않는 공휴일, 기억하지 않는 어젯밤의 꿈","벅스가 선정한 2016년 11월 이달의 앨범 선정 작품. 곽푸른하늘의 2집 [어제의 소설]은 세상을 너무 일찍 관조하게 된 23살 청춘의 비망록이다. 앨범은 사랑의 설레임과 상실감, 인연에 대한 애틋한 감정들을 한편의 소설처럼 풀어내고 있다. 잔잔한 어쿠스틱 기타와 담담한 보컬, 일견 이렇다 할 특색이 없어 보이는 그녀의 음악은 청자를 묘하게 사로잡는 매력이 있다. 청자와 대화하는 듯한 진솔한 감정 표현, 귀에 자연스럽게 읽히는 노랫말의 힘이다.

특히 타이틀곡 ‘읽히지 않는 책’의 “나는 네가 쉬지 않는 공휴일, 기억하지 않는 어젯밤의 꿈”과 같은 인상적인 구절은 문학적 가사쓰기의 훌륭한 예라 할만하다. 슬픔이 묻어나면서도 평정심을 유지하는 보컬과 반복적인 멜로디로 아슬아슬한 긴장감을 유지하는 기타, 잔잔하게 여백을 채우는 하헌진(기타)과 까르푸황(베이스), 이혜지(첼로)의 세션이 조화를 이룬 앨범은 시종일관 절제된 분위기로 자연스러운 감동을 이끌어낸다.

깔끔한 송라이팅과 매혹적인 음색의 보컬, 꾸밈없는 연출과 완성도 높은 서사 등 모든 면에서 지난 앨범보다 진일보했다. 홍대 아이유의 이미지를 벗어 던지고 한층 성숙한 싱어송라이터 곽푸른하늘의 정체성을 선명하게 자리매김해낸 결과물이다."
